NAME,X,Y,X-scaled,Y-scaled,label,top_level_cell_type,sub_level_cell_type
568,9532,23094,2860,6929,13months-control-replicate_2,CTX-Ex,CTX-Ex1
569,18109,23084,5433,6926,13months-control-replicate_2,Astro,Astro1
570,8050,23084,2415,6926,13months-control-replicate_2,Inh,Pvalb
571,5934,23074,1781,6923,13months-control-replicate_2,CTX-Ex,CTX-Ex3
572,4681,23082,1405,6925,13months-control-replicate_2,Astro,Astro1
573,6402,23072,1921,6922,13months-control-replicate_2,CTX-Ex,CTX-Ex2
574,6131,23073,1840,6922,13months-control-replicate_2,CTX-Ex,CTX-Ex2
575,12858,23069,3858,6921,13months-control-replicate_2,CTX-Ex,CTX-Ex1
576,11297,23060,3389,6918,13months-control-replicate_2,Micro,Micro1
577,2132,23060,640,6918,13months-control-replicate_2,Endo,Endo1
578,10346,23058,3104,6918,13months-control-replicate_2,CTX-Ex,CTX-Ex1
