"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Acsl4",1.07843409821795,0.00314893762201785,0.0295498482305376,0.106563580206942,0.915135212795056,0.997571146269089
"Acsl6",1.03664133039581,-0.00326039080602575,0.0301519171560686,-0.108132122715439,0.913890887296267,NA
"Acta2",1.02116912559196,0.00273094095499821,0.0303651440953,0.0899367032946473,0.928337514311447,NA
"Actc1",1.02106130545228,-0.000840614772085765,0.0303747958997435,-0.0276747463541924,0.977921565477027,NA
"Actn1",1.01558180605169,0.00107909796357144,0.0304520016223974,0.0354360273899949,0.97173205703915,NA
"Actn2",1.02127660870485,-0.000703160426183989,0.0303713000240953,-0.0231521346016183,0.981528919415363,NA
"Actr2",1.27053256297841,-0.0524823564085015,0.0273504287797395,-1.91888605590634,0.0549987557118446,0.268930923598862
"Actr3",1.06908911623567,-0.00222264734117575,0.0296901376129431,-0.0748614698305341,0.940324933117943,0.997571146269089
"Ada",1.01611930824511,0.00174335798886838,0.0304424764262806,0.0572672855012335,0.954332279956912,NA
"Adam10",1.03857829056052,0.00171877768260242,0.0301127564470137,0.0570780587830535,0.954483014478137,NA
"Adam19",1.01955786789925,0.00393640120626067,0.0303863405568939,0.129545089475001,0.896926349263927,NA
